Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33.0,Yes,Travel_Rarely,350,Sales,5,,Marketing,1,485,4.0,Female,34,3,1,Sales Representative,3.0,,2851.0,9150,1,Y,Yes,13,3.0,2,80,0,,2,3,1.0,0,0,0
37.0,No,Travel_Rarely,921,,10,3.0,Medical,1,486,3.0,Female,98,3,1,Laboratory Technician,,,,17663,6,Y,No,20,4.0,2,80,1,17.0,3,3,5.0,4,0,3
46.0,No,Non-Travel,1144,,7,4.0,Medical,1,487,3.0,Female,30,3,2,,3.0,,,16044,2,Y,No,14,3.0,3,80,0,,2,4,1.0,0,0,0
,Yes,Travel_Frequently,143,,4,3.0,Marketing,1,488,1.0,Male,56,3,2,Sales Executive,2.0,Single,9355.0,9558,1,Y,No,18,3.0,3,80,0,,5,3,8.0,7,7,7
50.0,No,Travel_Rarely,1046,,10,3.0,Technical Degree,1,491,,Male,100,2,3,Healthcare Representative,4.0,Single,,2755,6,Y,No,15,,4,80,0,20.0,2,3,4.0,3,1,3
40.0,Yes,Travel_Rarely,575,,22,,Marketing,1,492,,Male,68,2,2,Sales Executive,3.0,Married,6380.0,6110,2,Y,Yes,12,3.0,1,80,2,8.0,6,3,,4,1,0
,,Travel_Rarely,408,,9,4.0,Life Sciences,1,493,3.0,Male,42,2,1,Research Scientist,,Single,2657.0,7551,0,Y,Yes,16,,4,80,0,,5,3,2.0,2,2,2
21.0,,Travel_Rarely,156,Sales,12,3.0,Life Sciences,1,494,,Female,90,4,1,,,Single,2716.0,25422,1,Y,No,15,3.0,4,80,0,1.0,0,3,1.0,0,0,0
29.0,,Travel_Rarely,1283,,23,3.0,Life Sciences,1,495,4.0,Male,54,3,1,Research Scientist,,Single,2201.0,18168,9,Y,No,16,3.0,4,80,0,,4,3,3.0,2,1,2
35.0,,Travel_Rarely,755,Research & Development,9,4.0,Life Sciences,1,496,3.0,Male,97,2,2,,2.0,Single,,19394,9,Y,No,19,,3,80,0,,5,3,1.0,1,0,0
27.0,,Travel_Rarely,1469,Research & Development,1,,Medical,1,497,4.0,Male,82,3,1,,2.0,,3816.0,17881,1,Y,No,11,,2,80,1,,2,3,,2,0,4
28.0,,Travel_Rarely,304,Sales,9,4.0,Life Sciences,1,498,,Male,92,3,2,Sales Executive,,,5253.0,20750,1,Y,No,16,3.0,4,80,0,7.0,1,3,7.0,5,0,7
49.0,No,Travel_Rarely,1261,Research & Development,7,3.0,Other,1,499,,Male,31,2,3,Healthcare Representative,3.0,Single,10965.0,12066,8,Y,No,24,,3,80,0,26.0,2,3,,2,0,0
,No,Travel_Rarely,1178,Sales,14,2.0,Life Sciences,1,500,3.0,Female,87,3,2,Sales Executive,,,4936.0,14862,4,Y,No,11,3.0,3,80,1,,2,2,,7,0,7
,,Travel_Rarely,329,Research & Development,2,,Life Sciences,1,501,4.0,Female,96,3,1,Research Scientist,,Married,2543.0,11868,4,Y,No,13,3.0,2,80,1,6.0,3,3,2.0,2,2,2
34.0,Yes,Non-Travel,1362,,19,,Marketing,1,502,1.0,Male,67,4,2,Sales Executive,4.0,Single,,4652,8,Y,Yes,13,3.0,2,80,0,,3,2,5.0,2,0,4
55.0,No,Travel_Rarely,1311,Research & Development,2,,Life Sciences,1,505,3.0,Female,97,3,4,Manager,4.0,Single,16659.0,23258,2,Y,Yes,13,3.0,3,80,0,30.0,2,3,5.0,4,1,2
24.0,No,Travel_Rarely,1371,Sales,10,4.0,Marketing,1,507,4.0,Female,77,3,2,Sales Executive,3.0,,4260.0,5915,1,Y,Yes,12,3.0,4,80,1,5.0,2,4,,2,0,3
30.0,,Travel_Rarely,202,,2,,Technical Degree,1,508,3.0,Male,72,3,1,Sales Representative,,,2476.0,17434,1,Y,No,18,,1,80,1,1.0,3,3,,0,0,0
26.0,,Travel_Frequently,575,,3,,Technical Degree,1,510,3.0,Male,73,3,1,,1.0,Single,,6582,0,Y,No,22,4.0,3,80,0,,2,3,6.0,4,0,4
,No,Travel_Rarely,253,Research & Development,11,,Medical,1,511,,Female,43,3,1,Research Scientist,2.0,Married,,24440,1,Y,No,13,3.0,4,80,1,2.0,1,3,,1,1,2
36.0,,Travel_Rarely,164,Sales,2,,Medical,1,513,2.0,Male,61,2,3,,3.0,,,3809,1,Y,No,13,,2,80,2,,2,3,10.0,9,9,0
30.0,,Travel_Frequently,464,,4,3.0,Technical Degree,1,514,,Male,40,3,1,,4.0,,2285.0,3427,9,Y,Yes,23,4.0,3,80,0,3.0,4,3,,0,0,0
37.0,,Travel_Rarely,1107,,14,3.0,Life Sciences,1,515,4.0,Female,95,3,1,Laboratory Technician,1.0,Divorced,3034.0,26914,1,Y,No,12,3.0,3,80,1,18.0,2,2,,7,12,17
40.0,,Travel_Rarely,759,Sales,2,2.0,Marketing,1,516,4.0,Female,46,3,2,Sales Executive,,,,22553,7,Y,No,12,3.0,3,80,2,8.0,5,3,5.0,4,1,3
42.0,No,Travel_Rarely,201,Research & Development,1,,Life Sciences,1,517,2.0,Female,95,3,1,Laboratory Technician,,Divorced,2576.0,20490,3,Y,No,16,3.0,2,80,1,,5,3,5.0,2,1,2
,No,Travel_Rarely,1305,,10,4.0,Life Sciences,1,518,3.0,Male,49,3,2,,2.0,,,21123,2,Y,Yes,12,,4,80,0,18.0,2,2,,0,0,1
43.0,No,Travel_Rarely,982,Research & Development,12,,Life Sciences,1,520,1.0,Male,59,2,4,,2.0,,14336.0,4345,1,Y,No,11,3.0,3,80,1,25.0,3,3,25.0,10,3,9
,,Travel_Rarely,555,,2,3.0,Medical,1,521,2.0,Female,78,2,2,Laboratory Technician,,Married,3448.0,13436,6,Y,No,22,4.0,2,80,1,20.0,3,3,1.0,0,0,0
54.0,No,Travel_Rarely,821,,5,2.0,Medical,1,522,,Male,86,3,5,Research Director,1.0,,,8509,4,Y,No,11,3.0,3,80,1,,4,2,,2,1,2
,No,Non-Travel,1381,,4,4.0,Marketing,1,523,3.0,Female,72,3,2,,3.0,,6538.0,12740,9,Y,No,15,3.0,1,80,1,,3,3,3.0,2,1,2
31.0,,Travel_Rarely,480,Research & Development,7,,Medical,1,524,2.0,Female,31,3,2,Manufacturing Director,,Married,,4156,1,Y,No,12,,2,80,1,13.0,5,1,13.0,10,3,12
,No,Travel_Frequently,313,Research & Development,21,,Medical,1,525,4.0,Male,61,3,1,Laboratory Technician,4.0,,,15238,7,Y,No,20,4.0,1,80,1,8.0,1,3,3.0,2,1,2
,,Travel_Rarely,1473,Research & Development,8,4.0,Other,1,526,,Female,74,3,2,Healthcare Representative,3.0,Divorced,4522.0,2227,4,Y,Yes,14,,4,80,0,,3,3,5.0,2,0,2
,,Travel_Rarely,891,Sales,4,,Life Sciences,1,527,,Female,99,2,2,,4.0,Single,4487.0,12090,1,Y,Yes,11,,2,80,0,5.0,3,3,5.0,4,1,3
37.0,No,Non-Travel,1063,Research & Development,25,,Medical,1,529,,Female,72,3,2,Research Scientist,,Married,,23866,3,Y,Yes,15,3.0,1,80,2,15.0,2,3,13.0,11,10,7
,No,Travel_Rarely,329,Research & Development,1,2.0,Life Sciences,1,530,,Male,98,2,1,Laboratory Technician,1.0,Married,2218.0,16193,1,Y,No,12,,3,80,1,4.0,3,3,,2,3,2
,No,Travel_Frequently,1218,,1,,Life Sciences,1,531,2.0,Male,52,3,5,,,,19197.0,8213,1,Y,Yes,14,,3,80,1,21.0,3,3,21.0,8,1,6
56.0,No,Travel_Frequently,906,Sales,6,3.0,Life Sciences,1,532,3.0,Female,86,4,4,,1.0,Married,13212.0,18256,9,Y,No,11,3.0,4,80,3,,0,2,7.0,7,7,7
30.0,No,Travel_Rarely,1082,Sales,12,3.0,Technical Degree,1,533,,Female,83,3,2,Sales Executive,,,6577.0,19558,0,Y,No,11,3.0,2,80,0,,6,3,5.0,4,4,4
41.0,No,Travel_Rarely,645,Sales,1,3.0,Marketing,1,534,,Male,49,4,3,Sales Executive,,Married,,19566,1,Y,No,16,,3,80,1,10.0,2,3,,7,0,7
,No,Travel_Rarely,1300,Research & Development,17,2.0,Medical,1,536,,Male,79,3,2,,1.0,Divorced,,13535,1,Y,No,12,,4,80,1,10.0,2,3,,0,1,8
25.0,,Travel_Rarely,688,Research & Development,3,3.0,Medical,1,538,1.0,Male,91,3,1,Laboratory Technician,,,,9396,5,Y,No,13,3.0,3,80,1,,5,3,2.0,2,0,2
52.0,,Travel_Rarely,319,,3,3.0,Medical,1,543,4.0,Male,39,2,3,Manufacturing Director,,Married,,19609,2,Y,Yes,14,3.0,3,80,0,28.0,4,3,5.0,4,0,4
45.0,,Travel_Rarely,192,Research & Development,10,,Life Sciences,1,544,1.0,Male,69,3,1,Research Scientist,,,2654.0,9655,3,Y,No,21,4.0,4,80,2,,3,2,,2,0,2
52.0,,Travel_Rarely,1490,Research & Development,4,2.0,Life Sciences,1,546,,Female,30,3,4,Manager,,Married,,10310,2,Y,No,13,,4,80,0,31.0,2,1,,2,1,4
,No,Travel_Frequently,532,Research & Development,29,2.0,Life Sciences,1,547,1.0,Female,92,3,2,Research Scientist,,,4556.0,12932,2,Y,No,11,3.0,2,80,1,19.0,3,3,5.0,4,0,2
30.0,No,Travel_Rarely,317,Research & Development,2,,Life Sciences,1,548,,Female,43,1,2,,4.0,Single,,24793,2,Y,No,20,,3,80,0,11.0,2,3,5.0,4,0,2
,No,Travel_Rarely,422,Research & Development,7,3.0,Life Sciences,1,549,,Female,41,3,5,,,,,3854,5,Y,No,11,,4,80,0,,5,1,29.0,8,11,10
46.0,No,Travel_Rarely,1485,,18,3.0,Medical,1,550,3.0,Female,87,3,2,,3.0,Divorced,,26314,2,Y,No,14,3.0,3,80,1,19.0,5,2,10.0,7,0,8
,No,Travel_Frequently,1368,Research & Development,28,,Technical Degree,1,551,4.0,Female,88,2,2,,4.0,Married,4523.0,4386,0,Y,No,11,3.0,4,80,3,7.0,4,4,6.0,5,0,4
24.0,Yes,Travel_Rarely,1448,Sales,1,1.0,Technical Degree,1,554,,Female,62,3,1,Sales Representative,,Single,,21972,1,Y,Yes,16,3.0,2,80,0,6.0,4,3,,3,1,4
,Yes,Travel_Frequently,296,Sales,6,2.0,Marketing,1,555,,Female,33,1,1,Sales Representative,3.0,,2351.0,12253,0,Y,No,16,3.0,4,80,1,3.0,3,2,2.0,2,1,0
38.0,,Travel_Frequently,1490,Research & Development,2,2.0,Life Sciences,1,556,4.0,Male,42,3,1,Laboratory Technician,,,1702.0,12106,1,Y,Yes,23,4.0,3,80,1,,3,3,1.0,0,0,0
40.0,,Travel_Rarely,1398,,2,4.0,Life Sciences,1,558,3.0,Female,79,3,5,Manager,,,,13022,0,Y,No,14,,4,80,0,,2,3,,15,1,12
26.0,No,Travel_Rarely,1349,Research & Development,23,3.0,Life Sciences,1,560,1.0,Female,90,3,1,Research Scientist,,,,3032,1,Y,No,22,4.0,2,80,2,,3,1,,2,0,2
30.0,No,Non-Travel,1400,Research & Development,3,3.0,Life Sciences,1,562,,Male,53,3,1,,,Married,2097.0,16734,4,Y,No,15,3.0,3,80,1,,3,1,5.0,3,1,4
29.0,,Travel_Rarely,986,Research & Development,3,4.0,Medical,1,564,2.0,Male,93,2,3,Research Director,3.0,,,21526,1,Y,No,18,3.0,3,80,0,10.0,2,3,10.0,2,0,7
,Yes,Travel_Rarely,408,Research & Development,25,,Technical Degree,1,565,3.0,Female,71,2,1,,2.0,,,18300,5,Y,No,16,,2,80,0,6.0,2,4,,2,1,1
19.0,Yes,Travel_Rarely,489,,2,2.0,Technical Degree,1,566,1.0,Male,52,2,1,,4.0,,2564.0,18437,1,Y,No,12,3.0,3,80,0,1.0,3,4,1.0,0,0,0
30.0,No,Non-Travel,1398,,22,4.0,Other,1,567,,Female,69,3,3,,,Married,,2890,0,Y,No,11,3.0,3,80,0,10.0,3,3,,8,7,8
57.0,,Travel_Rarely,210,,29,3.0,Marketing,1,568,,Male,56,2,4,Manager,4.0,,14118.0,22102,3,Y,No,12,,3,80,1,32.0,3,2,1.0,0,0,0
50.0,No,Travel_Rarely,1099,,29,4.0,Life Sciences,1,569,2.0,Male,88,2,4,,,,17046.0,9314,0,Y,No,15,3.0,2,80,1,28.0,2,3,27.0,10,15,7
30.0,,Non-Travel,1116,,2,3.0,Medical,1,571,,Female,49,3,1,,4.0,Single,2564.0,7181,0,Y,No,14,3.0,3,80,0,,2,2,11.0,7,6,7
,No,Travel_Frequently,1499,Sales,28,,Marketing,1,573,3.0,Female,80,2,3,,,,,2845,4,Y,No,19,3.0,4,80,0,22.0,5,4,18.0,13,13,11
,No,Travel_Rarely,983,Research & Development,2,,Medical,1,574,1.0,Female,65,3,2,,4.0,,5070.0,7389,5,Y,No,13,3.0,3,80,3,,2,3,,0,0,4
,,Travel_Rarely,1009,Research & Development,2,3.0,Life Sciences,1,575,1.0,Male,51,3,4,,,,,2288,6,Y,No,13,3.0,3,80,0,26.0,2,1,,2,0,1
,,Travel_Rarely,144,,22,3.0,Life Sciences,1,577,4.0,Male,46,1,1,,,,4230.0,19225,0,Y,No,15,3.0,3,80,0,6.0,2,3,5.0,4,4,3
,No,Travel_Rarely,548,Research & Development,8,4.0,Life Sciences,1,578,,Female,42,3,2,Laboratory Technician,3.0,Single,3780.0,23428,7,Y,No,11,3.0,3,80,0,,3,3,1.0,0,0,0
,,Travel_Rarely,1303,,2,4.0,Life Sciences,1,579,4.0,Male,62,2,1,Research Scientist,3.0,,2768.0,8416,3,Y,No,12,,3,80,1,,3,3,7.0,3,5,7
46.0,,Travel_Rarely,1125,Sales,10,,Marketing,1,580,3.0,Female,94,2,3,Sales Executive,,,,11563,2,Y,Yes,19,3.0,3,80,1,,3,3,,2,1,2
,No,Travel_Rarely,1274,Research & Development,9,,Life Sciences,1,581,3.0,Male,33,3,3,Manufacturing Director,2.0,Divorced,10648.0,14394,1,Y,No,25,,4,80,1,13.0,6,4,13.0,8,0,8
33.0,,Travel_Rarely,1277,,15,,Medical,1,582,2.0,Male,56,3,3,Manager,,Married,13610.0,24619,7,Y,Yes,12,3.0,4,80,0,15.0,2,4,7.0,6,7,7
,Yes,Travel_Rarely,587,Research & Development,10,1.0,Medical,1,584,,Male,38,1,1,,4.0,Divorced,3408.0,6705,7,Y,No,13,3.0,1,80,3,,2,3,,3,1,3
30.0,No,Travel_Rarely,413,Sales,7,1.0,Marketing,1,585,,Male,57,3,1,,2.0,Single,,18398,0,Y,No,14,,1,80,0,,3,3,3.0,2,1,2
,,Travel_Rarely,1276,Research & Development,16,3.0,Life Sciences,1,586,4.0,Male,72,3,3,,3.0,Married,,14295,4,Y,Yes,12,3.0,3,80,0,,2,3,,7,0,0
,,Travel_Frequently,534,,20,3.0,Life Sciences,1,587,1.0,Male,66,3,3,Healthcare Representative,,Married,9824.0,22908,3,Y,No,12,3.0,1,80,0,12.0,2,3,,0,0,0
34.0,Yes,Travel_Frequently,988,Human Resources,23,3.0,Human Resources,1,590,2.0,Female,43,3,3,Human Resources,1.0,Divorced,9950.0,11533,9,Y,Yes,15,3.0,3,80,3,,2,3,3.0,2,0,2
,No,Travel_Frequently,1474,,5,,Other,1,591,2.0,Male,97,3,1,Laboratory Technician,,Married,2093.0,9260,4,Y,No,17,,4,80,1,,4,3,2.0,2,2,0
36.0,No,Non-Travel,635,Sales,10,4.0,Medical,1,592,2.0,Male,32,3,3,Sales Executive,4.0,,9980.0,15318,1,Y,No,14,,4,80,0,10.0,3,2,,3,9,7
,Yes,Travel_Frequently,1368,,4,,Technical Degree,1,593,,Male,99,2,1,Laboratory Technician,3.0,Single,,9129,5,Y,No,16,,3,80,0,4.0,3,3,,2,1,2
48.0,No,Travel_Rarely,163,,2,5.0,Marketing,1,595,,Female,37,3,2,,4.0,,,19658,2,Y,No,14,,1,80,1,14.0,2,3,9.0,7,6,7
55.0,,Travel_Rarely,1117,Sales,18,5.0,Life Sciences,1,597,1.0,Female,83,3,4,Manager,2.0,,,9873,3,Y,No,23,,4,80,0,,2,3,10.0,9,7,7
41.0,No,Non-Travel,267,Sales,10,,Life Sciences,1,599,,Male,56,3,2,,4.0,,6230.0,13430,7,Y,No,14,,4,80,0,16.0,3,3,,3,1,10
,No,Travel_Rarely,619,,1,,Marketing,1,600,2.0,Male,85,3,2,,3.0,Married,,18659,9,Y,No,11,3.0,3,80,0,15.0,2,3,11.0,9,6,9
40.0,No,Travel_Rarely,302,,6,,Life Sciences,1,601,2.0,Female,75,3,4,Manufacturing Director,,Single,13237.0,20364,7,Y,No,15,3.0,3,80,0,22.0,3,3,20.0,6,5,13
,No,Travel_Frequently,443,Research & Development,8,1.0,Life Sciences,1,602,,Female,48,3,1,Laboratory Technician,3.0,,,17872,1,Y,No,11,3.0,1,80,1,8.0,3,3,8.0,3,0,7
,,Travel_Rarely,828,,2,1.0,Life Sciences,1,604,,Male,77,3,2,,4.0,Single,,8346,4,Y,Yes,13,,3,80,0,10.0,2,4,6.0,5,0,5
,No,Travel_Rarely,319,Research & Development,24,3.0,Medical,1,605,,Male,56,3,3,Manufacturing Director,1.0,Married,,6950,1,Y,Yes,21,4.0,4,80,1,10.0,5,2,10.0,9,5,8
45.0,No,Travel_Rarely,561,Sales,2,,Other,1,606,4.0,Male,61,3,2,Sales Executive,2.0,,,16177,0,Y,No,19,,2,80,1,9.0,3,4,8.0,7,3,7
,Yes,Travel_Frequently,426,Human Resources,17,,Life Sciences,1,608,2.0,Female,58,3,1,,3.0,Divorced,2741.0,22808,0,Y,Yes,11,3.0,2,80,1,,2,2,7.0,7,1,0
,,Travel_Rarely,232,,19,,Technical Degree,1,611,4.0,Male,34,3,2,,,,4262.0,22645,4,Y,No,12,,2,80,2,8.0,2,4,3.0,2,1,2
33.0,No,Travel_Rarely,922,Research & Development,1,,Medical,1,612,,Female,95,4,4,Research Director,3.0,,16184.0,22578,4,Y,No,19,3.0,3,80,1,,2,3,6.0,1,0,5
,,Travel_Rarely,688,,7,,Life Sciences,1,613,,Male,44,2,3,Manager,4.0,,11557.0,25291,9,Y,No,21,4.0,3,80,1,10.0,3,2,5.0,4,0,1
18.0,Yes,Travel_Frequently,1306,,5,3.0,Marketing,1,614,2.0,Male,69,3,1,Sales Representative,,Single,1878.0,8059,1,Y,Yes,14,3.0,4,80,0,,3,3,,0,0,0
,,Non-Travel,1094,Sales,28,3.0,Other,1,615,,Male,58,1,3,Sales Executive,,Divorced,10932.0,11373,3,Y,No,15,3.0,3,80,1,,2,3,1.0,0,0,1
41.0,,Non-Travel,509,Research & Development,2,,Other,1,616,1.0,Female,62,2,2,Healthcare Representative,3.0,Single,,2112,2,Y,Yes,17,,1,80,0,10.0,3,3,8.0,7,0,7
26.0,No,Travel_Rarely,775,Sales,29,,Medical,1,618,1.0,Male,45,3,2,Sales Executive,,Divorced,4306.0,4267,5,Y,No,12,,1,80,2,8.0,5,3,0.0,0,0,0
,,Travel_Rarely,195,Sales,1,3.0,Medical,1,620,1.0,Female,80,3,2,Sales Executive,3.0,,4859.0,6698,1,Y,No,16,3.0,4,80,0,5.0,3,3,,4,0,3
,No,Travel_Rarely,258,,21,4.0,Life Sciences,1,621,,Male,74,4,2,Sales Executive,4.0,,5337.0,19921,1,Y,No,12,3.0,4,80,0,10.0,3,3,,7,5,7
26.0,,Travel_Rarely,471,,24,3.0,Technical Degree,1,622,3.0,Male,66,1,1,Laboratory Technician,,Single,2340.0,23213,1,Y,Yes,18,,2,80,0,1.0,3,1,1.0,0,0,0
37.0,,Travel_Rarely,799,,1,3.0,Technical Degree,1,623,2.0,Female,59,3,3,,4.0,Single,7491.0,23848,4,Y,No,17,,4,80,0,12.0,3,4,,5,1,2
46.0,,Travel_Frequently,1034,,18,,Medical,1,624,,Female,86,3,3,,3.0,Married,10527.0,8984,5,Y,No,11,,4,80,0,,3,2,,2,1,2
41.0,No,Travel_Rarely,1276,Sales,2,,Life Sciences,1,625,2.0,Female,91,3,4,Manager,1.0,Married,16595.0,5626,7,Y,No,16,3.0,2,80,1,22.0,2,3,,16,11,8
37.0,No,Non-Travel,142,Sales,9,,Medical,1,626,,Male,69,3,3,,2.0,Divorced,8834.0,24666,1,Y,No,13,3.0,4,80,1,9.0,6,3,9.0,5,7,7
52.0,No,Travel_Rarely,956,Research & Development,6,,Technical Degree,1,630,4.0,Male,78,3,2,Research Scientist,,,5577.0,22087,3,Y,Yes,12,,2,80,2,18.0,3,3,10.0,9,6,9
,,Non-Travel,1474,Sales,11,4.0,Other,1,631,4.0,Male,60,4,2,,,,4707.0,23914,8,Y,No,12,,4,80,0,6.0,2,3,,2,1,2
,No,Travel_Frequently,535,,24,3.0,Medical,1,632,4.0,Male,38,3,1,Sales Representative,4.0,Married,,5530,0,Y,No,13,3.0,3,80,2,,3,3,,2,2,1
,,Travel_Rarely,1495,Research & Development,10,,Medical,1,634,,Female,76,3,2,,3.0,Married,9824.0,22174,3,Y,No,19,,3,80,1,18.0,4,3,,0,0,0
,No,Travel_Rarely,446,Research & Development,1,,Life Sciences,1,635,2.0,Female,65,3,2,,2.0,Married,6447.0,15701,6,Y,No,12,3.0,2,80,1,8.0,2,2,6.0,5,4,3
,No,Travel_Rarely,1245,Research & Development,18,4.0,Life Sciences,1,638,4.0,Male,58,2,5,Research Director,,,,2125,1,Y,Yes,17,,3,80,1,31.0,5,3,31.0,9,0,9
24.0,,Travel_Rarely,691,,23,3.0,Medical,1,639,,Male,89,4,1,Research Scientist,4.0,Married,2725.0,21630,1,Y,Yes,11,,2,80,2,6.0,3,3,,5,1,4
26.0,,Travel_Rarely,703,Sales,28,2.0,Marketing,1,641,,Male,66,3,2,,2.0,Married,6272.0,7428,1,Y,No,20,4.0,4,80,2,6.0,5,4,,3,1,4
,,Travel_Rarely,823,,17,2.0,Other,1,643,,Male,94,2,1,Laboratory Technician,,,,9100,1,Y,No,21,4.0,4,80,1,1.0,2,3,1.0,0,0,0
50.0,,Travel_Frequently,1246,Human Resources,3,3.0,Medical,1,644,,Male,99,3,5,Manager,2.0,Married,,7999,1,Y,No,11,3.0,3,80,1,32.0,2,3,32.0,5,10,7
25.0,No,Travel_Rarely,622,Sales,13,1.0,Medical,1,645,2.0,Male,40,3,1,Sales Representative,3.0,,2096.0,26376,1,Y,No,11,,3,80,0,,1,3,,4,0,6
,Yes,Travel_Frequently,1287,Research & Development,7,,Life Sciences,1,647,1.0,Female,55,3,1,Laboratory Technician,3.0,Married,2886.0,14168,1,Y,Yes,16,3.0,4,80,1,,4,3,6.0,3,1,2
,Yes,Travel_Frequently,448,Sales,12,,Life Sciences,1,648,2.0,Male,74,2,1,Sales Representative,1.0,Married,2033.0,14470,1,Y,No,18,3.0,3,80,1,,2,4,,0,0,0
,,Travel_Rarely,254,,1,2.0,Life Sciences,1,649,2.0,Male,83,2,1,Research Scientist,4.0,Married,,22794,1,Y,Yes,13,3.0,4,80,1,,3,3,6.0,5,1,3
31.0,,Travel_Rarely,1365,Sales,13,4.0,Medical,1,650,2.0,Male,46,3,2,,1.0,Divorced,,11512,2,Y,No,17,3.0,3,80,0,9.0,2,1,3.0,1,1,2
35.0,No,Travel_Rarely,538,Research & Development,25,,Other,1,652,,Male,54,2,2,Laboratory Technician,,Single,3681.0,14004,4,Y,No,14,,4,80,0,9.0,3,3,,2,0,2
,,Travel_Rarely,525,,6,,Medical,1,653,1.0,Male,66,4,2,Sales Executive,4.0,Divorced,5460.0,6219,4,Y,No,22,4.0,4,80,2,13.0,4,4,,7,5,7
27.0,,Travel_Rarely,798,,6,,Medical,1,655,,Female,66,2,1,Research Scientist,3.0,Divorced,,5013,0,Y,No,12,,3,80,2,6.0,5,2,,3,0,3
,,Travel_Rarely,558,Sales,2,3.0,Marketing,1,656,4.0,Male,75,3,2,Sales Executive,3.0,Married,9602.0,3010,4,Y,Yes,11,,3,80,1,,3,2,3.0,0,1,0
,,Travel_Rarely,959,,1,,Life Sciences,1,657,4.0,Female,83,2,1,Research Scientist,,,2836.0,11757,1,Y,No,13,3.0,4,80,0,,0,4,,0,0,0
,,Travel_Rarely,622,,2,4.0,Life Sciences,1,659,,Female,81,3,2,Healthcare Representative,4.0,,4089.0,5718,1,Y,No,13,,2,80,2,,4,3,,2,2,2
43.0,No,Travel_Rarely,782,Research & Development,6,4.0,Other,1,661,,Male,50,2,4,,,Divorced,,2671,4,Y,Yes,14,3.0,3,80,1,,3,2,1.0,0,0,0
38.0,,Travel_Rarely,362,Research & Development,1,1.0,Life Sciences,1,662,3.0,Female,43,3,1,,,Single,2619.0,14561,3,Y,No,17,,4,80,0,8.0,3,2,0.0,0,0,0
,No,Travel_Frequently,1001,Research & Development,9,5.0,Medical,1,663,4.0,Male,72,3,2,,,Divorced,,19627,3,Y,Yes,13,,2,80,1,,3,3,,7,4,7
48.0,No,Travel_Rarely,1236,,1,4.0,Life Sciences,1,664,4.0,Female,40,2,4,,1.0,,15402.0,17997,7,Y,No,11,,1,80,1,21.0,3,1,3.0,2,0,2
,,Travel_Rarely,1112,Human Resources,1,4.0,Life Sciences,1,665,,Female,50,2,2,Human Resources,,,,26894,4,Y,No,11,,2,80,0,,1,4,2.0,2,0,2
34.0,No,Travel_Rarely,204,Sales,14,,Technical Degree,1,666,3.0,Female,31,3,1,,3.0,,,2912,1,Y,Yes,18,3.0,4,80,2,8.0,3,3,8.0,2,0,6
27.0,Yes,Travel_Rarely,1420,Sales,2,1.0,Marketing,1,667,3.0,Male,85,3,1,Sales Representative,,Divorced,,16346,0,Y,No,11,,2,80,1,,3,3,4.0,3,0,2
21.0,,Travel_Rarely,1343,,22,1.0,Technical Degree,1,669,,Male,49,3,1,,3.0,,,24444,1,Y,No,11,,3,80,0,3.0,2,3,,2,1,2
44.0,No,Travel_Rarely,1315,Research & Development,3,4.0,Other,1,671,4.0,Male,35,3,5,Manager,4.0,Married,19513.0,9358,4,Y,Yes,12,3.0,1,80,1,,2,4,2.0,2,0,1
22.0,,Travel_Rarely,604,Research & Development,6,1.0,Medical,1,675,1.0,Male,69,3,1,,,,2773.0,12145,0,Y,No,20,4.0,4,80,0,3.0,3,3,2.0,2,2,2
33.0,,Travel_Rarely,1216,Sales,8,4.0,Marketing,1,677,3.0,Male,39,3,2,Sales Executive,3.0,,,20431,0,Y,No,12,3.0,4,80,0,,3,3,5.0,0,1,2
32.0,,Travel_Rarely,646,,9,,Life Sciences,1,679,,Female,92,3,2,Research Scientist,4.0,Married,6322.0,18089,1,Y,Yes,12,3.0,4,80,1,,2,2,6.0,4,0,5
30.0,No,Travel_Frequently,160,Research & Development,3,,Medical,1,680,,Female,71,3,1,Research Scientist,,Divorced,2083.0,22653,1,Y,No,20,4.0,3,80,1,,2,3,1.0,0,0,0
,No,Travel_Rarely,238,,1,,Medical,1,682,,Female,34,3,2,Sales Executive,1.0,Single,,7507,7,Y,No,20,4.0,4,80,0,18.0,2,4,14.0,7,8,10
,,Travel_Rarely,1397,,1,,Life Sciences,1,683,2.0,Male,42,3,1,Research Scientist,4.0,Married,2691.0,7660,1,Y,No,12,,4,80,1,10.0,4,2,10.0,9,8,8
45.0,Yes,Travel_Frequently,306,Sales,26,4.0,Life Sciences,1,684,,Female,100,3,2,,1.0,Married,4286.0,5630,2,Y,No,14,3.0,4,80,2,5.0,4,3,1.0,1,0,0
